id,codigo,nombre,bic
1,0003,BANCO-DEPOSITOS,BDEPESM1
2,0011,ALLFUNDS-BANK,ALLFESMM
3,0019,DEUTSCHE-BANK,DEUTESBB
4,0031,BANCO-ETCHEVARRIA,ETCHES2G
5,0036,SANTANDER-IVESTMENT,SABNESMM
6,0038,SANTANDER-BANCO-EMISIONES,BSCHESMM
7,0046,BANCO-GALLEGO,GALEES2G
8,0049,BANCO-SANTANDER,BSCHESMM
9,0057,BANCO-DEPOSITARIO-BBVA,BVADESMM
10,0058,BNP-PARIBAS,BNPAESMM
11,0059,BANCO-MADRID,MADRESMM
12,0061,BANCA-MARCH,BMARES2M
13,0065,BLARCLAYS-BANK,BARCESMM
14,0073,OPEN-BANK,OPENESMM
15,0075,BANCO-POPULAR,POPUESMM
16,0078,BANCO-PUEYO,BAPUES22
17,0081,BANCO-SABADELL,BSABESBB
18,0083,RENTA4,RENBESMM
19,0094,RBC-INVESTOR,BVALESMM
20,0108,SOCIETE-GENERALE,SOGEESMM
21,0113,BANCO-INDUSTRIAL-BILBAO,INBBESM1
22,0115,BANCO-CASTILLA-LAMANCHA,CECAESMM115
23,0121,BANCO-OCCIDENTAL,OCBAESM1
24,0122,CITIBANK,CITIES2X
25,0125,BANCOFAR,BAOFESM1
26,0128,BANKINTER,BKBKESMM
27,0130,BANCO-CAIXA-GRAL,CGDIESMM
28,0131,BANCO-ESPIRITO-SANTO,BESMESMM
29,0132,BANCO-PROMOCION-NEGOCIOS,PRNEESM1
30,0133,NUEVO-MICROBANK,MIKBESB1
31,0136,ARESBANK,AREBESMM
32,0138,BANKOA,BKOAES22
33,0144,BNP-PARIBAS-SECURITES,PARBESMX
34,0149,BNP-SUCURSLA-ESPANA,BNPAESMS
35,0151,JPMORGAN,CHASESM3
36,0152,BARCLAYS-BANK,BPLCESMM
37,0154,CREDIT-AGRICOLE-INVETBANK,BSUIESMM
38,0155,BANCO-DO-BRASIL,BRASESMM
39,0156,ROYAL-BANK-SCOTLAND,ABNAESMM
40,0159,COMMERZBANK,COBAESMX
41,0160,BANK-OF-TOKYO,BOTKESMX
42,0161,DEUTSCHE-BANK-AMERICAS,BKTRESM1
43,0162,HSBC-BANK,MIDLESMM
44,0167,BNP-PARIBAS-FORTIS,GEBAESMM
45,0168,ING-BELGIUM,BBRUESMX
46,0169,BANCO-NACION-ARGENTINA,NACNESMM
47,0182,BBVA,BBVAESMM
48,0184,BANCO-EUROPEO-FINANZAS,BEDFESM1
49,0186,BANDO-MEDIOLANUM,BFIVESBB
50,0188,BANCO-ALCALA,ALCLESMM
51,0190,BANCO-BPI,BBPIESMM
52,0196,PORTIGON-AG,WELAESMM
53,0198,BANCO-COOPERATIVO-ESPANOL,BCOEESMM
54,0200,PRIVAT-BANK-DEGROOF,PRVBESB1
55,0211,EBN-BANCO-NEGOCIOS,PROAESMM
56,0216,TARGOBANK,POHIESMM
57,0218,FCE-BANK-PLC,FCEFESM1
58,0219,BANQUE-MAROCAINE-COMMERCE,BMCEESMM
59,0220,BANCO-FINANTIA-CAPITAL,FIOFESM1
60,0223,GENERAL-ELECTRIC-BANK,GEECESB1
61,0224,SANTANDER-CONSUMER,SCFBESMM
62,0225,BANCO-CETELEM,FIEIESM1
63,0226,UBS-BANK,UBSWESMM
64,0227,UNOE-BANK,UNOEESM1
65,0229,BANCO-POPULAR-ESA,POPLESMM
66,0231,DEXIA-SABADELL,DSBLESMM
67,0232,BANCO-INVERSIS,INVLESMM
68,0233,POPULAR-BANCA-PRIVADA,POPIESMM
69,0234,BANCO-CAMINOS,CCOCESMM
70,0235,BANCO-PICHINCHA,PIESESM1
71,0236,SABADELL-SOLBANK,LOYIESMM
72,0237,CAJASUR-BANCO,CSURES2C
